phase15a_rank,candidate_id,instrument,module_family,side,trigger_model,confirmation_model,exit_variant,timeframe,atr_cap_multiple,buffer_ticks,time_stop_minutes,max_trades_per_day,build_start,build_end,trade_start,trade_end,entry_rule,paper_trading_approved,trades,active_days,trades_per_active_day,gross_pnl,net_pnl,stress_pnl,validation_pnl,holdout_pnl,max_drawdown,best_day_concentration,best_trade_concentration,avg_mfe,avg_mae,walk_forward_test_pnl,walk_forward_stress_pnl,positive_wf_test_folds_pct,worst_wf_test_fold,average_correlation_to_registry,max_correlation_to_registry,average_correlation_to_playbook,max_correlation_to_playbook,gap_days_covered,incremental_gap_days_covered,any_target_gap_days_covered,invalid_risk_skipped_count,signals_found,official_gates_passed,trend_days_with_no_module_covered,power_hour_expansion_days_with_no_module_covered,low_volatility_expansion_days_with_no_module_covered,no_trade_large_intraday_movement_days_covered,phase15a_label,signal_evidence_status,tradability_status,research_track,portfolio_role,reject_reasons,phase15a_score
39,MNQ_15a_low_volatility_late_expansion_long_lunch_expansion_retest_resume_close_confirm_fill_next_open_hard_stop_time_exit,MNQ,low_volatility_late_expansion,long,lunch_expansion_retest_resume,close_confirm_fill_next_open,hard_stop_time_exit,5,1.25,1,30,1,11:30,13:30,13:30,15:30,later_bar_open,False,31,31,1.0,-172.34,-257.28,-288.28,-19.38,118.54,-383.84,1.0,1.0,34.24,48.44,-58.88,-76.88,0.166667,-154.84,0.035254,0.114741,0.075257,0.124793,0,0,1,0,31,False,1,1,0,0,phase15a_rejected_negative_stress,no_signal,not_tradable_negative,rare_setup_research_signal,rare_setup_module,negative stress; negative validation; low activity; fold instability; concentration,-749.0
40,MNQ_15a_low_volatility_late_expansion_long_lunch_expansion_breakout_two_bar_confirm_fill_next_open_hard_stop_time_exit,MNQ,low_volatility_late_expansion,long,lunch_expansion_breakout,two_bar_confirm_fill_next_open,hard_stop_time_exit,5,1.25,1,30,1,11:30,13:30,13:30,15:30,later_bar_open,False,27,27,1.0,-194.34,-268.32,-295.32,-107.46,70.54,-319.62,1.0,1.0,29.72,24.8,-128.42,-145.42,0.166667,-85.22,0.025508,0.101604,0.040116,0.079355,0,0,1,0,27,False,1,1,0,0,phase15a_rejected_negative_stress,no_signal,not_tradable_negative,rare_setup_research_signal,rare_setup_module,negative stress; negative validation; low activity; fold instability; concentration,-760.36
41,MNQ_15a_low_volatility_late_expansion_long_lunch_expansion_retest_resume_two_bar_confirm_fill_next_open_hard_stop_time_exit,MNQ,low_volatility_late_expansion,long,lunch_expansion_retest_resume,two_bar_confirm_fill_next_open,hard_stop_time_exit,5,1.25,1,30,1,11:30,13:30,13:30,15:30,later_bar_open,False,27,27,1.0,-194.34,-268.32,-295.32,-107.46,70.54,-319.62,1.0,1.0,29.72,24.8,-128.42,-145.42,0.166667,-85.22,0.025508,0.101604,0.040116,0.079355,0,0,1,0,27,False,1,1,0,0,phase15a_rejected_negative_stress,no_signal,not_tradable_negative,rare_setup_research_signal,rare_setup_module,negative stress; negative validation; low activity; fold instability; concentration,-760.36
42,MNQ_15a_power_hour_continuation_short_power_range_breakout_continuation_two_bar_confirm_fill_next_open_structure_target_time_exit,MNQ,power_hour_continuation,short,power_range_breakout_continuation,two_bar_confirm_fill_next_open,structure_target_time_exit,5,1.25,1,30,1,13:30,14:30,14:30,15:45,later_bar_open,False,32,32,1.0,-117.34,-205.02,-237.02,15.33,-225.94,-416.58,1.0,1.0,53.2,48.72,-204.29,-224.29,0.333333,-163.2,0.055969,0.218876,0.112892,0.227718,1,1,1,0,32,False,1,1,0,0,phase15a_rejected_negative_stress,no_signal,not_tradable_negative,rare_setup_research_signal,rare_setup_module,negative stress; negative holdout; low activity; fold instability; concentration,-852.89
43,MNQ_15a_power_hour_continuation_short_power_range_edge_retest_resume_two_bar_confirm_fill_next_open_structure_target_time_exit,MNQ,power_hour_continuation,short,power_range_edge_retest_resume,two_bar_confirm_fill_next_open,structure_target_time_exit,5,1.25,1,30,1,13:30,14:30,14:30,15:45,later_bar_open,False,32,32,1.0,-117.34,-205.02,-237.02,15.33,-225.94,-416.58,1.0,1.0,53.2,48.72,-204.29,-224.29,0.333333,-163.2,0.055969,0.218876,0.112892,0.227718,1,1,1,0,32,False,1,1,0,0,phase15a_rejected_negative_stress,no_signal,not_tradable_negative,rare_setup_research_signal,rare_setup_module,negative stress; negative holdout; low activity; fold instability; concentration,-852.89
44,MNQ_15a_power_hour_continuation_short_power_range_breakout_continuation_two_bar_confirm_fill_next_open_hard_stop_time_exit,MNQ,power_hour_continuation,short,power_range_breakout_continuation,two_bar_confirm_fill_next_open,hard_stop_time_exit,5,1.25,1,30,1,13:30,14:30,14:30,15:45,later_bar_open,False,32,32,1.0,-191.84,-279.52,-311.52,137.08,-378.44,-406.05,1.0,1.0,66.31,54.25,-286.79,-306.79,0.333333,-315.7,0.05565,0.131202,0.046988,0.109731,1,1,1,0,32,False,1,1,0,0,phase15a_rejected_negative_stress,no_signal,not_tradable_negative,rare_setup_research_signal,rare_setup_module,negative stress; negative holdout; low activity; fold instability; concentration,-999.36
45,MNQ_15a_power_hour_continuation_short_power_range_edge_retest_resume_two_bar_confirm_fill_next_open_hard_stop_time_exit,MNQ,power_hour_continuation,short,power_range_edge_retest_resume,two_bar_confirm_fill_next_open,hard_stop_time_exit,5,1.25,1,30,1,13:30,14:30,14:30,15:45,later_bar_open,False,32,32,1.0,-191.84,-279.52,-311.52,137.08,-378.44,-406.05,1.0,1.0,66.31,54.25,-286.79,-306.79,0.333333,-315.7,0.05565,0.131202,0.046988,0.109731,1,1,1,0,32,False,1,1,0,0,phase15a_rejected_negative_stress,no_signal,not_tradable_negative,rare_setup_research_signal,rare_setup_module,negative stress; negative holdout; low activity; fold instability; concentration,-999.36
46,MNQ_15a_power_hour_continuation_short_power_range_breakout_continuation_close_confirm_fill_next_open_structure_target_time_exit,MNQ,power_hour_continuation,short,power_range_breakout_continuation,close_confirm_fill_next_open,structure_target_time_exit,5,1.25,1,30,1,13:30,14:30,14:30,15:45,later_bar_open,False,41,41,1.0,-221.07,-333.41,-374.41,37.54,-99.46,-527.25,1.0,1.0,62.16,60.27,-244.89,-269.89,0.166667,-170.95,0.123365,0.422202,0.172556,0.360693,1,1,1,0,41,False,1,1,0,0,phase15a_rejected_negative_stress,no_signal,not_tradable_negative,rare_setup_research_signal,rare_setup_module,negative stress; negative holdout; low activity; fold instability; concentration,-1146.55
47,MNQ_15a_power_hour_continuation_short_power_range_edge_retest_resume_close_confirm_fill_next_open_structure_target_time_exit,MNQ,power_hour_continuation,short,power_range_edge_retest_resume,close_confirm_fill_next_open,structure_target_time_exit,5,1.25,1,30,1,13:30,14:30,14:30,15:45,later_bar_open,False,41,41,1.0,-221.07,-333.41,-374.41,37.54,-99.46,-527.25,1.0,1.0,62.16,60.27,-244.89,-269.89,0.166667,-170.95,0.123365,0.422202,0.172556,0.360693,1,1,1,0,41,False,1,1,0,0,phase15a_rejected_negative_stress,no_signal,not_tradable_negative,rare_setup_research_signal,rare_setup_module,negative stress; negative holdout; low activity; fold instability; concentration,-1146.55
48,MNQ_15a_trend_day_late_pullback_continuation_short_ema20_pullback_resume_two_bar_confirm_fill_next_open_structure_target_time_exit,MNQ,trend_day_late_pullback_continuation,short,ema20_pullback_resume,two_bar_confirm_fill_next_open,structure_target_time_exit,5,1.25,1,30,1,09:30,11:30,13:00,15:30,later_bar_open,False,50,50,1.0,-221.22,-358.22,-408.22,-104.66,-234.97,-460.77,1.0,1.0,44.61,47.92,-417.19,-445.19,0.0,-183.25,0.102293,0.387934,0.186702,0.362158,0,0,0,0,50,False,0,0,0,0,phase15a_rejected_negative_stress,no_signal,not_tradable_negative,rare_setup_research_signal,rare_setup_module,negative stress; negative validation; negative holdout; low activity; fold instability; concentration,-1314.18
